pt;y;cent;chi2;fitStat;doIterativeFit;modelSig_mass;mean_mass;sigma_mass;alpha0_mass;n0_mass;alpha1_mass;n1_mass;modelBkg_mass;c0_mass;c1_mass;c2_mass;c3_mass;
0-1;2.5-3.6;0-100;0-5;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-5;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-5;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-5;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-6;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-6;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-6;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-6;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-7;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-7;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-7;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-7;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-8;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-8;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-8;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-8;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-9;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-9;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-9;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
